16 окт. 2025 11:28:50,728  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[376812863 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:28:55,609  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1479, SID: hostGoals(game)]
16 окт. 2025 11:28:55,611  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1479, SID: hostGoals(game)]
16 окт. 2025 11:28:55,729  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[376812863 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:28:55,729  -  -   INFO RemoteLogger - FORM CLOSE : FORM[376812863 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:28:58,665  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:28:58,666  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:28:59,529  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (-1,0,1), value : 
16 окт. 2025 11:28:59,533  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (-1,0,1)
16 окт. 2025 11:28:59,537  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (10,9,1), value : 
16 окт. 2025 11:28:59,546  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (10,9,1)
16 окт. 2025 11:29:01,393  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1483, SID: guestTeamName(game)]
16 окт. 2025 11:29:01,483  -  -   INFO RemoteLogger - FORM OPEN : FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:29:02,645  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,0), value : К
16 окт. 2025 11:29:02,645  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,0)
16 окт. 2025 11:29:03,209  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,1), value : Ко
16 окт. 2025 11:29:03,209  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,1)
