16 окт. 2025 11:24:49,886  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,900  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,942  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,949  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,956  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,959  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,964  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,967  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,972  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,977  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,977  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,978  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,431  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,434  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,435  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,437  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,437  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,439  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,440  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,448  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,593  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,595  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,596  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,600  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,664  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,664  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,665  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,666  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:50,677  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:25:10,002  -  -   INFO SQLConnectionLogger - NEW CONNECTION : 10576, Time : 22, Current connections count : 1
