16 окт. 2025 11:28:42,063  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2006345633
16 окт. 2025 11:28:42,210  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1554911044
16 окт. 2025 11:28:42,214  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1554911044
16 окт. 2025 11:28:42,245  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@788002937
16 окт. 2025 11:28:42,249  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@788002937
16 окт. 2025 11:28:42,379  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@189355883
16 окт. 2025 11:28:42,382  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@189355883
16 окт. 2025 11:28:42,818  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1642760691
16 окт. 2025 11:28:42,822  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1642760691
16 окт. 2025 11:28:42,953  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@396986055
16 окт. 2025 11:28:42,956  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@396986055
16 окт. 2025 11:28:43,243  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2082191417
16 окт. 2025 11:28:43,246  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2082191417
16 окт. 2025 11:28:43,542  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@802323133
16 окт. 2025 11:28:43,545  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@802323133
16 окт. 2025 11:28:59,530  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1074563455
16 окт. 2025 11:28:59,533  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1074563455
16 окт. 2025 11:29:04,715  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@171259163
16 окт. 2025 11:29:04,722  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@171259163
16 окт. 2025 11:29:09,333  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@19946562
16 окт. 2025 11:29:09,340  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@19946562
16 окт. 2025 11:29:11,039  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1009836096
16 окт. 2025 11:29:57,253  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1414468688
16 окт. 2025 11:33:09,376  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1495445771
16 окт. 2025 11:33:25,038  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1404097631
16 окт. 2025 11:33:25,045  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1404097631
16 окт. 2025 11:34:19,523  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1495445771
16 окт. 2025 11:34:37,915  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@873237797
16 окт. 2025 11:35:37,991  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@873237797
16 окт. 2025 12:05:50,195  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1940539870
16 окт. 2025 12:05:50,929  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 12:05:50,929  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1940539870
16 окт. 2025 12:05:51,979  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1073041213
16 окт. 2025 12:05:52,302  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@594745440
16 окт. 2025 12:05:52,302  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@914358327
16 окт. 2025 12:05:52,540  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1944118548
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@407051744
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1641747361
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@865544182
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@367478386
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@325568445
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1070583628
16 окт. 2025 12:05:52,602  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1033433263
16 окт. 2025 12:05:53,082  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@229604759
16 окт. 2025 12:05:56,952  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1831806861
16 окт. 2025 12:05:56,952  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1039737365
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@367478386
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1641747361
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@914358327
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@594745440
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@229604759
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@325568445
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1033433263
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1070583628
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1944118548
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@865544182
16 окт. 2025 12:05:57,114  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@407051744
16 окт. 2025 12:05:57,156  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1239460360
16 окт. 2025 12:05:57,159  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@204937544
16 окт. 2025 12:05:57,183  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@204937544
16 окт. 2025 12:05:57,183  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1239460360
16 окт. 2025 12:05:57,205  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2134157671
16 окт. 2025 12:07:26,978  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@812645504
16 окт. 2025 12:09:57,034  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@705048513
16 окт. 2025 12:14:45,060  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@535250990
16 окт. 2025 12:14:45,758  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 12:14:45,758  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@535250990
16 окт. 2025 12:14:45,874  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1855997464
16 окт. 2025 12:14:47,846  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1110545108
16 окт. 2025 12:14:47,846  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@294852811
16 окт. 2025 12:14:48,138  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@74019397
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@860686977
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1953088783
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1318499054
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@538406261
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@893902762
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@669813234
16 окт. 2025 12:14:48,199  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1143197518
16 окт. 2025 12:14:48,581  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1144014534
16 окт. 2025 12:14:52,301  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@343295735
16 окт. 2025 12:14:52,301  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1147443808
16 окт. 2025 12:14:52,453  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@538406261
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1318499054
16 окт. 2025 12:14:52,453  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@74019397
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1110545108
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@893902762
16 окт. 2025 12:14:52,453  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1953088783
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@669813234
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1144014534
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1143197518
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@294852811
16 окт. 2025 12:14:52,454  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@860686977
