16 окт. 2025 11:27:53,433  INFO PausableInvocationsLogger - Run invocation: [f: navigator, m: executeNavigatorAction, rq: 0]
16 окт. 2025 11:27:53,450  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 0] called delayUserInteraction: lsfusion.interop.action.ClientWebAction@20ae6430
16 окт. 2025 11:27:53,450  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 0] called delayUserInteraction: lsfusion.interop.action.ClientWebAction@69fd06e9
16 окт. 2025 11:27:53,529  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 0] called delayUserInteraction: lsfusion.interop.action.ClientWebAction@4d86b84
16 окт. 2025 11:27:53,530  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 0] called delayUserInteraction: lsfusion.interop.action.ClientWebAction@76d6293b
16 окт. 2025 11:27:53,616  INFO PausableInvocationsLogger - Invocation [f: navigator, m: executeNavigatorAction, rq: 0] finished
16 окт. 2025 11:27:56,659  INFO PausableInvocationsLogger - Run invocation: [f: navigator, m: executeNavigatorAction, rq: 2]
16 окт. 2025 11:27:56,916  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 2] called delayUserInteraction: FormClientAction[showFormType: DOCKED]
16 окт. 2025 11:27:56,916  INFO PausableInvocationsLogger - Invocation [f: navigator, m: executeNavigatorAction, rq: 2] finished
16 окт. 2025 11:27:57,673  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:27:57,674  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:27:57,674  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: gainedFocus, rq: 0]
16 окт. 2025 11:27:57,675  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: gainedFocus, rq: 0] finished
16 окт. 2025 11:27:57,675  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:28:09,194  INFO PausableInvocationsLogger - Run invocation: [f: navigator, m: executeNavigatorAction, rq: 3]
16 окт. 2025 11:28:09,232  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 3] called delayUserInteraction: lsfusion.interop.action.ChangeColorThemeClientAction@513be2e6
16 окт. 2025 11:28:09,267  INFO PausableInvocationsLogger - Invocation [f: navigator, m: executeNavigatorAction, rq: 3] finished
16 окт. 2025 11:28:10,987  INFO PausableInvocationsLogger - Run invocation: [f: navigator, m: executeNavigatorAction, rq: 4]
16 окт. 2025 11:28:11,006  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 4] called delayUserInteraction: lsfusion.interop.action.ChangeColorThemeClientAction@6397fbd1
16 окт. 2025 11:28:11,038  INFO PausableInvocationsLogger - Invocation [f: navigator, m: executeNavigatorAction, rq: 4] finished
16 окт. 2025 11:28:30,922  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:30,922  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:30,922  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 1]
16 окт. 2025 11:28:30,944  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 1] finished
16 окт. 2025 11:28:30,944  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:32,086  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 2] for request #2
16 окт. 2025 11:28:32,086  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 2] for request #2
16 окт. 2025 11:28:32,086  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: changePageSize, rq: 2]
16 окт. 2025 11:28:32,087  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: changePageSize, rq: 2] finished
16 окт. 2025 11:28:32,087  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 2] for request #2
16 окт. 2025 11:28:33,702  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 3] for request #3
16 окт. 2025 11:28:33,702  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 3] for request #3
